Category,Metric,Value,Source,Description
gem5_stats,system.cpu.dcache.tags.sampledRefs,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.avgRefs,15.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.warmupTick,148000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.occupancies::cpu.data,81.421851,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.avgOccs::cpu.data,0.079514,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.avgOccs::total,0.079514,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.occupanciesTaskId::1024,135.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.ageTaskId_1024::0,31.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.ageTaskId_1024::1,104.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.ratioOccsTaskId::1024,0.131836,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.tagAccesses,4185.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.dataAccesses,4185.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.blockedCycles::no_mshrs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.blockedCycles::no_targets,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.blockedCauses::no_mshrs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.blockedCauses::no_targets,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.avgBlocked::no_mshrs,,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.avgBlocked::no_targets,,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.replacements,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.tagsInUse,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.totalRefs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.sampledRefs,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.avgRefs,,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.warmupTick,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.tagAccesses,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.dataAccesses,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED,31497000.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.numMatAluAccesses,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.numCallsReturns,221.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.numMatInsts,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.numIdleCycles,0.002,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.numBusyCycles,62993.998,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.notIdleFraction,1.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.exec_context.thread_0.idleFraction,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numInsts,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numNop,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numBranches,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numLoadInsts,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numStoreInsts,2027.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.instRate,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numFpRegWrites,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numIntAluAccesses,10195.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numIntRegReads,11140.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numIntRegWrites,7154.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numMemRefs,2027.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numMiscRegReads,4674.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numMiscRegWrites,1.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numVecAluAccesses,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.executeStats0.numDiscardedOps,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.numInsts,5714.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.numOps,10315.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.fetchRate,0.090707,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.numBranches,1306.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.branchRate,0.020732,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.fetchStats0.numFetchSuspends,0.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.icache.demandHits::cpu.inst,7056.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.icache.demandHits::total,7056.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.icache.overallHits::cpu.inst,7056.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.icache.overallHits::total,7056.0,stats.txt,gem5 simulation statistic
gem5_stats,system.cpu.icache.demandMisses::cpu.inst,230.0,stats.txt,gem5 simulation statistic
